operator,station_count
TANK- UND WASCHPARK LAHR,1
FREIE TANKSTELLE HANNÖVER,1
MINERA  AUTOMATENSTATION,1
FREIE TANKSTELLE GERTKEN,1
CITI OIL SB TANKSTELLE,1
BFT-FREIE TANKSTELLE,1
C+C OBERALLGÄU LANG-STEUDLER,1
CAR FRIEDRICH GMBH,1
KLINK,1
POWER KFZ,1
S-TANK BIBERBACH,1
SONSTIGE,1
FIP TANKCENTER METTINGEN,1
K+K KLAAS & KOCK,1
FREIETANKSTELLE OBERROTWEIL,1
OTT TRANSPORTE-TANKSTELLE E.K.,1
WILHELM CLAAS GMBH,1
MTB TANKSTELLE AUTO-HEIDT,1
FIP TANKCENTER LAGGENBECK,1
TANKCENTER SONNBORN,1
EASY SPRIT,1
BFT TANKHAUS PENNEKAMP,1
BFT TANKSTELLE NEUSSEL,1
BERNHARD AHLERT GMBH & CO. KG,1
SCHÜTZ - FREIE TANKSTELLE,1
SCHARR-TANKSTELLE,1
HERM GMBH &CO.KG,1
EBERHARDT UNTERÖWISHEIM,1
TANKCENTER EUROPOINT,1
RLT,1
AGRAVIS,1
K&S,1
CALPAM 24/7,1
ROTH ENERGIE & TANKSTOP BEST,1
BRZEZINA GMBH - DREBBER,1
TANKSTELLE LÖSENBACH,1
WASCHPARK FICHTELGEBIRGE,1
FREIE TANKSTELLE RAFAEL WIDMANN,1
MINERALÖLE ANDRYS,1
FREIE SB-TANKSTELLE FEIL,1
KRÖBER SB DIESEL + ADBLUE,1
TS ARNT,1
FREIE TANKSTELLE RINCK,1
DAUBNER,1
FREIE TANKSTELLE GALL,1
RHEINLAND ENERGIE SISTIG,1
STOFFREGEN,1
BFT AUTO-TEAM GMBH,1
NEO,1
GRÜNING AUTOMOBILE KREMPEL,1
TANKSTELLE SCHMID,1
TANKSTELLE EHRET,1
TANK & WASCHCENTER AUERBACH,1
KARO TANKSTELLE (FREI),1
OEL - HEIM,1
HÜTER EINKAUFSZENTRUM,1
DBV,1
TANKSTELLE LANGWASSER,1
AUTO WALTER KG,1
TANKSTELLE LUKER,1
BLAKERT.DE VW IN OSTERWICK,1
BENDIX,1
FREIE TANKSTELLE GS TANK SCHMIDT,1
SPEED POINT EBLE,1
AGROSERVICE TANKSTELLE NOBITZ,1
DONIG ARAL-VERTRIEB,1
SCHONHOFF GMBH,1
KURZ-EBERT TELGTE TANKSTELLE,1
TANKHOF STEINHEIM,1
SB TANKSTELLE RAKER,1
RAIFFEISEN ASSLING,1
FREIE WELLE,1
DT DIETEL TANK,1
TANKCENTER BADZIONG,1
MC SPRIT,1
EDUARD KERN KFZ GMBH,1
AUTOHAUS ANTON SEGBERT GMBH & CO.  KG,1
S-TANK KÜHBACH,1
TOBIAS LEHRE GMBH,1
JANSSEN MINERALÖLE,1
TANKSTELLE LICHTENFELS,1
AGRON,1
BFT TANKSTELLE MUCKE,1
DEA,1
WILLI WALTER GMBH,1
LANFER-ENERGIE,1
PM EXPRESS,1
EBERHARDT UBSTADT,1
LANWEHR,1
S-TANK HOHENWART,1
WITTMANN OIL,1
QPT,1
FLAEMING TANK,1
FRITZ WALTER GMBH,1
KAISER ENERGIE,1
MONWASH 24H TANKEN,1
TANK SCHÄFER,1
HOYER BEI DODENHOF,1
AUTOHAUS RÖSE GBR,1
SELGROS,1
PIENING TANKSTELLE,1
Q1 KAISER,1
TANKSTELLE AITRACHTAL,1
SCHWARZKOPF,1
TANKSTATION LAMMERSDORF CALPAM,1
FREIE TANKSTELLE SCHNEIDER,1
TANKSTELLE MIT BEDIENUNG,1
TANKSTELLE HANS-JÜRGEN BAUER,1
ROTTAL TANKSTELLE,1
CALPAM EXPRESS OBER-RAMSTADT,1
TANKSTELLE WEISS HÜNXE,1
FREIE TANKSTELLE BAYER,1
DIE ZAPFSÄULE KREFELD,1
24H TANKSTELLE SCHMIDTLER // JOE´S CARWASH,1
BAGENO RAIFFEISEN EG,1
ASL AUTOSERVICE LAARWALD GMBH,1
AUTO SEIDL,1
TS KARMANN TANKEN & MEHR,1
AUTOHAUS FRANZ SAALER OHG,1
TANKSTELLE WEST - WELLDORF,1
AUTOHAUS NACHTMANN,1
TANKZENTRUM LACHER,1
BFT WILLIG´S GTR-TANKHOF,1
VW THIEROLF,1
TANKSTELLE AURES,1
RUNDEL MINERALÖLVERTRIEB,1
AUTOCENTER THOMAS FISCHL E.K,1
FREIE TANKSTELLE MEYER,1
CLASSIC/WEVAG,1
AUTOHAUS LUCKEY FREIE TANKST.,1
TANKSTELLE LUKOSEK,1
FREIE TANKSTELLE WAHL KG,1
LEO EXPRESS,1
BFT HORHEIM,1
AUTOHAUS OTTO MENGER GMBH & CO. KG,1
FREIE TANKSTELLE WESSEL,1
STARKSTELLE,1
RAIFFEISEN - LBAG SCHMALENBRÜCKE EG,1
MÖBEL INHOFER GMBH & CO. KG,1
EUROTANK,1
TANKSTELLE EMMERLING,1
TANKSTELLE STILL,1
AUTOHAUS KNÖPFLE,1
FREIE TANKSTELLE KÖRSCHEN,1
FREIE AUTOMATENTANKSTELLE,1
L.BAIERER,1
HALFMANN MINERALÖL GMBH & CO. KG,1
AUTOHAUS SCHMID,1
LKT,1
AUTO-SERVICE-BUND,1
GERLINGER MGH-MARKELSHEIM,1
FREIE TANKSTELLE HERLACH,1
"SCHINDELE, LOCHBRÜCKE",1
TS AM ADMIRA CENTER,1
BFT TANKSTELLE ALTE HUETTE,1
CLEANPOINT,1
FREIE TANKSTELLE FEHER,1
TANKSTELLENSERVICE UWE SONNEBO,1
FREIE TANKSTELLE BRUNNER,1
FREIE TANKSTELLE WESSELS,1
INNTALER,1
HOERNDL FREIE TANKSTELLE,1
ZULAUF TANKEN,1
MHT,1
SCHNEIDER WINKLER24H,1
FREIE TANKSTELLE LÖGERING,1
AMIDI FREIE TANKSTELLE,1
WALTHER AUTOMATENTANKSTELLE,1
VON SEGGERN GMBH,1
CLASSIC KNOLL,1
LAKOTA-REISEN,1
JAF TANK GMBH,1
AZUR,1
BROERING TANKSTELLE,1
ALOIS KILLISPERGER GMBH,1
TANKPORT SÜD,1
JOACHIM LANG TURMFELD,1
FREIE KANNE TANKSTELLE,1
TANKSTELLE GRÖDITSCH,1
FLEMING + WENDELN GMBH & CO. KG,1
BRZEZINA GMBH HEILIGENLOH,1
CH-TANK OST,1
